
Hello,Hi there!
HELLO,Hey!
HI,Hello there!
Hello,Hey!
hi,Hello there!
hello,Hello to you!
how are you?,I am well. How are you?
fine,I could not tell you.<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=fine'>fine</a>
i am fine.,I'll need to take some time to think on that.<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=i am fine.'>i am fine.</a>
fever,I could not tell you.<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=fever'>fever</a>
Hello,Hello to you!
hi,Hello there!
hiiii,I don't really know what you are asking.<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=hiiii'>hiiii</a>
fever,There are some things I just don't know about yet.<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=fever'>fever</a>
exit,I don't know.<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=exit'>exit</a>
Hello,Hello
fever,fever
hhh,hhh
Hello,Hi there!
hello,Hi there!
good,I'm not sure about that.<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=good'>good</a>
fever,Is there a different way you can ask that?<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=fever'>fever</a>
hi,Hello there!
hello there,I'm not sure about that.<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=hello there'>hello there</a>
hello there !,Can you try rephrasing that please?<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=hello there !'>hello there !</a>
Hello,It's nice to see you!
fever,nise tablet
Hello,Hi there!
night blindness,Beta Carotene
Hello,Hey!
ulcers,Antacids
ulcer,Antacids
ULCER,Antacids
FEVERS,Aspirin
hello,Hey!
hey,Can you try rephrasing that please?<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=hey'>hey</a>
Hello,Hi there!
fever,Aspirin
skin,Can you try rephrasing that please?<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=skin'>skin</a>
dandruff,Coal Tar
fungal,I'm not an expert on that.<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=fungal'>fungal</a>
fungal infection,"Antifungals, Azoles"
cancer,Androgens
antacids,I will have to give that some thought.<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=antacids'>antacids</a>
thank you,Can you try rephrasing that please?<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=thank you'>thank you</a>
Hello,It's nice to see you!
fever,Aspirin
headache,Aspirin
corona virus,I'll need to take some time to think on that.<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=corona virus'>corona virus</a>
pain,Dehydroepiandrosterone (DHEA)
roshan,I don't know.<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=roshan'>roshan</a>
hohw are you,I am well. How are you?
fine,Is there a different way you can ask that?<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=fine'>fine</a>
hello,It's nice to see you!
bye,I'll need to take some time to think on that.<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=bye'>bye</a>
Hello,Hello to you!
hello,Hello to you!
Hello,It's nice to see you!
hello,Hello to you!
fever,salicylates
fever,salicylates
fever,barbiturates
headache,I'm not sure about that.<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=headache'>headache</a>
hair loss,antharil
pain,I'll need to take some time to think on that.<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=pain'>pain</a>
Hello,Hey!
Hello,Hey!
Hello,It's nice to see you!
Hello,Hi there!
